CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2015,30,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2016,16,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2017,23,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2018,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,2019,11,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2000,392,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2001,466,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2002,381,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2003,427,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2004,323,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2005,307,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2006,363,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2007,419,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2008,584,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2009,636,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2010,689,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2011,883,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2012,624,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2013,695,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2014,853,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2015,910,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2016,1851,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2017,1481,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2018,1852,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,2019,3215,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2000,258,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2001,264,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2002,230,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2003,255,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2004,167,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2005,259,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2006,178,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2007,153,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2008,191,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2009,206,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2010,266,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2011,261,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2012,271,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2013,309,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2014,389,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2015,321,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2016,318,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2017,347,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2018,340,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,2019,294,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2000,582,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2001,848,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2002,756,
