Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Total,Iceland,2019,44
Iran,Inflows of foreign population by nationality,Women,Italy,2000,183
Iran,Inflows of foreign population by nationality,Women,Italy,2002,185
Iran,Inflows of foreign population by nationality,Women,Italy,2003,187
Iran,Inflows of foreign population by nationality,Women,Italy,2004,275
Iran,Inflows of foreign population by nationality,Women,Italy,2005,212
Iran,Inflows of foreign population by nationality,Women,Italy,2006,237
Iran,Inflows of foreign population by nationality,Women,Italy,2007,179
Iran,Inflows of foreign population by nationality,Women,Italy,2008,242
Iran,Inflows of foreign population by nationality,Women,Italy,2009,345
Iran,Inflows of foreign population by nationality,Women,Italy,2010,369
Iran,Inflows of foreign population by nationality,Women,Italy,2011,440
Iran,Inflows of foreign population by nationality,Women,Italy,2012,650
Iran,Inflows of foreign population by nationality,Women,Italy,2013,692
Iran,Inflows of foreign population by nationality,Women,Italy,2014,583
Iran,Inflows of foreign population by nationality,Women,Italy,2015,548
Iran,Inflows of foreign population by nationality,Women,Italy,2016,545
Iran,Inflows of foreign population by nationality,Women,Italy,2017,655
Iran,Inflows of foreign population by nationality,Women,Italy,2018,692
Iran,Inflows of foreign population by nationality,Women,Italy,2019,835
Iran,Inflows of foreign population by nationality,Total,Italy,2000,414
Iran,Inflows of foreign population by nationality,Total,Italy,2002,420
Iran,Inflows of foreign population by nationality,Total,Italy,2003,400
Iran,Inflows of foreign population by nationality,Total,Italy,2004,537
Iran,Inflows of foreign population by nationality,Total,Italy,2005,395
Iran,Inflows of foreign population by nationality,Total,Italy,2006,424
Iran,Inflows of foreign population by nationality,Total,Italy,2007,377
Iran,Inflows of foreign population by nationality,Total,Italy,2008,483
Iran,Inflows of foreign population by nationality,Total,Italy,2009,611
Iran,Inflows of foreign population by nationality,Total,Italy,2010,744
Iran,Inflows of foreign population by nationality,Total,Italy,2011,940
Iran,Inflows of foreign population by nationality,Total,Italy,2012,1378
Iran,Inflows of foreign population by nationality,Total,Italy,2013,1397
Iran,Inflows of foreign population by nationality,Total,Italy,2014,1205
Iran,Inflows of foreign population by nationality,Total,Italy,2015,1190
Iran,Inflows of foreign population by nationality,Total,Italy,2016,1045
Iran,Inflows of foreign population by nationality,Total,Italy,2017,1304
Iran,Inflows of foreign population by nationality,Total,Italy,2018,1353
Iran,Inflows of foreign population by nationality,Total,Italy,2019,1648
Iran,Inflows of foreign population by nationality,Total,Japan,2006,408
Iran,Inflows of foreign population by nationality,Total,Japan,2007,575
Iran,Inflows of foreign population by nationality,Total,Japan,2008,450
Iran,Inflows of foreign population by nationality,Total,Japan,2009,450
Iran,Inflows of foreign population by nationality,Total,Japan,2010,449
Iran,Inflows of foreign population by nationality,Total,Japan,2011,360
Iran,Inflows of foreign population by nationality,Total,Japan,2012,384
Iran,Inflows of foreign population by nationality,Total,Japan,2013,273
Iran,Inflows of foreign population by nationality,Total,Japan,2014,334
Iran,Inflows of foreign population by nationality,Total,Japan,2015,448
Iran,Inflows of foreign population by nationality,Total,Japan,2016,475
Iran,Inflows of foreign population by nationality,Total,Japan,2017,439
Iran,Inflows of foreign population by nationality,Total,Japan,2018,370
Iran,Inflows of foreign population by nationality,Total,Japan,2019,428
Iran,Inflows of foreign population by nationality,Women,Korea,2000,58
Iran,Inflows of foreign population by nationality,Women,Korea,2001,60
Iran,Inflows of foreign population by nationality,Women,Korea,2002,35
Iran,Inflows of foreign population by nationality,Women,Korea,2003,20
